Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Taxonomic lineage	EC number
K2RQU4	unreviewed	K2RQU4_METFP	Ribose-phosphate pyrophosphokinase, RPPK, EC 2.7.6.1 (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase, P-Rib-PP synthase, PRPP synthase, PRPPase)	prs A994_09648	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.7.6.1
K2RW02	unreviewed	K2RW02_METFP	dITP/XTP pyrophosphatase, EC 3.6.1.66 (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase, NTPase)	A994_01550	Methanobacterium formicicum (strain DSM 3637 / PP1)		3.6.1.66
K2RW18	unreviewed	K2RW18_METFP	Ketol-acid reductoisomerase (NADP(+)), KARI, EC 1.1.1.86 (Acetohydroxy-acid isomeroreductase, AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase)	ilvC A994_01650	Methanobacterium formicicum (strain DSM 3637 / PP1)		1.1.1.86
K2RW89	unreviewed	K2RW89_METFP	5'-deoxyadenosine deaminase, 5'-dA deaminase, EC 3.5.4.41 (5'-methylthioadenosine deaminase, MTA deaminase, EC 3.5.4.31) (Adenosine deaminase, EC 3.5.4.4) (S-adenosylhomocysteine deaminase, SAH deaminase, EC 3.5.4.28)	dadD A994_02075	Methanobacterium formicicum (strain DSM 3637 / PP1)		3.5.4.28; 3.5.4.31; 3.5.4.4; 3.5.4.41
K2Q9H6	unreviewed	K2Q9H6_METFP	Dihydroorotase, DHOase, EC 3.5.2.3	pyrC A994_12697	Methanobacterium formicicum (strain DSM 3637 / PP1)		3.5.2.3
K2Q9V3	unreviewed	K2Q9V3_METFP	Digeranylgeranylglycerophospholipid reductase, DGGGPL reductase, EC 1.3.-.- (2,3-bis-O-geranylgeranylglyceryl phosphate reductase) (Geranylgeranyl reductase, GGR)	A994_11971	Methanobacterium formicicum (strain DSM 3637 / PP1)		1.3.-.-
K2QA19	unreviewed	K2QA19_METFP	Orotidine 5'-phosphate decarboxylase, EC 4.1.1.23 (OMP decarboxylase, OMPDCase, OMPdecase)	pyrF A994_12296	Methanobacterium formicicum (strain DSM 3637 / PP1)		4.1.1.23
K2QAB6	unreviewed	K2QAB6_METFP	FAD synthase, EC 2.7.7.2 (FMN adenylyltransferase) (Flavin adenine dinucleotide synthase)	ribL A994_11822	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.7.7.2
K2QAR2	unreviewed	K2QAR2_METFP	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD, EC 6.3.5.13 (Lipid II isoglutaminyl synthase glutaminase subunit, EC 3.5.1.2)	gatD A994_10524	Methanobacterium formicicum (strain DSM 3637 / PP1)		3.5.1.2; 6.3.5.13
K2QAU0	unreviewed	K2QAU0_METFP	Thiamine thiazole synthase, EC 2.4.2.59	thi4 A994_10699	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.4.2.59
K2QB20	unreviewed	K2QB20_METFP	Carbamoyl-phosphate synthase large chain, EC 6.3.5.5 (Carbamoyl-phosphate synthetase ammonia chain)	carB A994_09803	Methanobacterium formicicum (strain DSM 3637 / PP1)		6.3.5.5
K2QB36	unreviewed	K2QB36_METFP	Cell division protein FtsZ	ftsZ A994_09878	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QBR6	unreviewed	K2QBR6_METFP	Tetrahydromethanopterin S-methyltransferase subunit C, EC 2.1.1.86 (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit C)	mtrC A994_09421	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.1.1.86
K2QBW2	unreviewed	K2QBW2_METFP	Quinolinate synthase, EC 2.5.1.72	nadA A994_08381	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.5.1.72
K2QBW6	unreviewed	K2QBW6_METFP	Pyridoxal 5'-phosphate synthase subunit PdxS, PLP synthase subunit PdxS, EC 4.3.3.6 (Pdx1)	pdxS A994_08406	Methanobacterium formicicum (strain DSM 3637 / PP1)		4.3.3.6
K2QC11	unreviewed	K2QC11_METFP	Shikimate dehydrogenase (NADP(+)), SDH, EC 1.1.1.25	aroE A994_08756	Methanobacterium formicicum (strain DSM 3637 / PP1)		1.1.1.25
K2QC73	unreviewed	K2QC73_METFP	Lon protease, EC 3.4.21.53 (ATP-dependent protease La)	lon A994_07686	Methanobacterium formicicum (strain DSM 3637 / PP1)		3.4.21.53
K2QCE9	unreviewed	K2QCE9_METFP	Probable L-tyrosine/L-aspartate decarboxylase, TDC/ADC, EC 4.1.1.11, EC 4.1.1.25	mfnA A994_06415	Methanobacterium formicicum (strain DSM 3637 / PP1)		4.1.1.11; 4.1.1.25
K2QD02	unreviewed	K2QD02_METFP	Sirohydrochlorin cobaltochelatase, EC 4.99.1.3 (CbiXS) (Sirohydrochlorin nickelchelatase, EC 4.99.1.11)	cbiX cfbA A994_07340	Methanobacterium formicicum (strain DSM 3637 / PP1)		4.99.1.11; 4.99.1.3
K2QD27	unreviewed	K2QD27_METFP	Mevalonate kinase, MK, MVK, EC 2.7.1.36	mvk A994_05476	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.7.1.36
K2QD35	unreviewed	K2QD35_METFP	DNA-directed RNA polymerase subunit Rpo3, EC 2.7.7.6 (DNA-directed RNA polymerase subunit D)	rpo3 rpoD A994_05526	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.7.7.6
K2QDL1	unreviewed	K2QDL1_METFP	Coenzyme F420:L-glutamate ligase, EC 6.3.2.31, EC 6.3.2.34 (Coenzyme F420-0:L-glutamate ligase) (Coenzyme F420-1:gamma-L-glutamate ligase)	cofE A994_04200	Methanobacterium formicicum (strain DSM 3637 / PP1)		6.3.2.31; 6.3.2.34
K2QDM7	unreviewed	K2QDM7_METFP	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase, EC 4.1.3.44 (tRNA wyosine derivatives biosynthesis protein Taw1)	taw1 A994_04300	Methanobacterium formicicum (strain DSM 3637 / PP1)		4.1.3.44
K2QDX3	unreviewed	K2QDX3_METFP	DNA double-strand break repair protein Mre11, EC 3.1.-.-	mre11 A994_04900	Methanobacterium formicicum (strain DSM 3637 / PP1)		3.1.-.-
K2QDY3	unreviewed	K2QDY3_METFP	Nitrogenase iron protein, EC 1.18.6.1 (Nitrogenase Fe protein) (Nitrogenase component II) (Nitrogenase reductase)	nifH A994_04975	Methanobacterium formicicum (strain DSM 3637 / PP1)		1.18.6.1
K2QDY5	unreviewed	K2QDY5_METFP	Amidophosphoribosyltransferase, ATase, EC 2.4.2.14 (Glutamine phosphoribosylpyrophosphate amidotransferase, GPATase)	purF A994_05000	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.4.2.14
K2QDY9	unreviewed	K2QDY9_METFP	2-amino-5-formylamino-6-ribosylaminopyrimidin-4(3H)-one 5'-monophosphate deformylase, FAPy deformylase, EC 3.5.1.102 (Formamide hydrolase)	arfB A994_05025	Methanobacterium formicicum (strain DSM 3637 / PP1)		3.5.1.102
K2QEC6	unreviewed	K2QEC6_METFP	Ribose-5-phosphate isomerase A, EC 5.3.1.6 (Phosphoriboisomerase A, PRI)	rpiA A994_03148	Methanobacterium formicicum (strain DSM 3637 / PP1)		5.3.1.6
K2QEI4	unreviewed	K2QEI4_METFP	Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain ] [Includes: Glutamate N-acetyltransferase, EC 2.3.1.35 (Ornithine acetyltransferase, OATase) (Ornithine transacetylase); Amino-acid acetyltransferase, EC 2.3.1.1 (N-acetylglutamate synthase, AGSase) ]	argJ A994_03423	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.3.1.1; 2.3.1.35
K2QEU7	unreviewed	K2QEU7_METFP	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase, PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase, PPC decarboxylase, PPC-DC, EC 4.1.1.36 (CoaC); Phosphopantothenate--cysteine ligase, EC 6.3.2.5 (CoaB) (Phosphopantothenoylcysteine synthetase, PPC synthetase, PPC-S) ]	coaBC A994_00005	Methanobacterium formicicum (strain DSM 3637 / PP1)		4.1.1.36; 6.3.2.5
K2QF10	unreviewed	K2QF10_METFP	Argininosuccinate synthase, EC 6.3.4.5 (Citrulline--aspartate ligase)	argG A994_00330	Methanobacterium formicicum (strain DSM 3637 / PP1)		6.3.4.5
K2QF23	unreviewed	K2QF23_METFP	Digeranylgeranylglycerophospholipid reductase, DGGGPL reductase, EC 1.3.-.- (2,3-bis-O-geranylgeranylglyceryl phosphate reductase) (Geranylgeranyl reductase, GGR)	A994_00380	Methanobacterium formicicum (strain DSM 3637 / PP1)		1.3.-.-
K2QFA5	unreviewed	K2QFA5_METFP	Methionine aminopeptidase, MAP, MetAP, EC 3.4.11.18 (Peptidase M)	map A994_00805	Methanobacterium formicicum (strain DSM 3637 / PP1)		3.4.11.18
K2QFQ3	unreviewed	K2QFQ3_METFP	Imidazole glycerol phosphate synthase subunit HisF, EC 4.3.2.10 (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF, IGPS subunit HisF)	hisF A994_01330	Methanobacterium formicicum (strain DSM 3637 / PP1)		4.3.2.10
K2QFU2	unreviewed	K2QFU2_METFP	Branched-chain-amino-acid aminotransferase, BCAT, EC 2.6.1.42	ilvE A994_01630	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.6.1.42
K2QFU6	unreviewed	K2QFU6_METFP	Acetolactate synthase small subunit, AHAS, ALS, EC 2.2.1.6 (Acetohydroxy-acid synthase small subunit)	ilvH A994_01655	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.2.1.6
K2QG07	unreviewed	K2QG07_METFP	Imidazole glycerol phosphate synthase subunit HisH, EC 4.3.2.10 (IGP synthase glutaminase subunit, EC 3.5.1.2) (IGP synthase subunit HisH) (ImGP synthase subunit HisH, IGPS subunit HisH)	hisH A994_01955	Methanobacterium formicicum (strain DSM 3637 / PP1)		3.5.1.2; 4.3.2.10
K2QWN8	unreviewed	K2QWN8_METFP	Glutamine--fructose-6-phosphate aminotransferase [isomerizing], EC 2.6.1.16 (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)	glmS A994_11906	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.6.1.16
K2QXE5	unreviewed	K2QXE5_METFP	CCA-adding enzyme, EC 2.7.7.72 (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl- transferase) (tRNA nucleotidyltransferase) (tRNA-NT)	cca A994_11067	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.7.7.72
K2QXK5	unreviewed	K2QXK5_METFP	UvrABC system protein A, UvrA protein (Excinuclease ABC subunit A)	uvrA A994_10409	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2QXP6	reviewed	METXA_METFP	Homoserine O-acetyltransferase, HAT, EC 2.3.1.31 (Homoserine transacetylase, HTA)	metXA A994_10634	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.3.1.31
K2QY04	unreviewed	K2QY04_METFP	Alanine--tRNA ligase, EC 6.1.1.7 (Alanyl-tRNA synthetase, AlaRS)	alaS A994_09913	Methanobacterium formicicum (strain DSM 3637 / PP1)		6.1.1.7
K2QYE4	unreviewed	K2QYE4_METFP	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B, Asp/Glu-ADT subunit B, EC 6.3.5.-	gatB A994_09081	Methanobacterium formicicum (strain DSM 3637 / PP1)		6.3.5.-
K2QYH5	unreviewed	K2QYH5_METFP	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase, EC 4.3.1.32 (FO synthase subunit 1)	cofG A994_09206	Methanobacterium formicicum (strain DSM 3637 / PP1)		4.3.1.32
K2QYM6	unreviewed	K2QYM6_METFP	Tetrahydromethanopterin S-methyltransferase subunit A, EC 2.1.1.86 (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit A)	mtrA A994_09431	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.1.1.86
K2QYV2	unreviewed	K2QYV2_METFP	Inorganic pyrophosphatase, EC 3.6.1.1 (Pyrophosphate phospho-hydrolase, PPase)	ppa A994_08616	Methanobacterium formicicum (strain DSM 3637 / PP1)		3.6.1.1
K2QYV5	unreviewed	K2QYV5_METFP	Nucleoside diphosphate kinase, NDK, NDP kinase, EC 2.7.4.6 (Nucleoside-2-P kinase)	ndk A994_08641	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.7.4.6
K2QZF6	unreviewed	K2QZF6_METFP	Tritrans,polycis-undecaprenyl-diphosphate synthase (geranylgeranyl-diphosphate specific), EC 2.5.1.89 (Undecaprenyl diphosphate synthase, UDS) (Undecaprenyl pyrophosphate synthase, UPP synthase)	uppS A994_08071	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.5.1.89
K2R0H7	unreviewed	K2R0H7_METFP	dCTP deaminase, dUMP-forming, EC 3.5.4.30 (Bifunctional dCTP deaminase:dUTPase) (DCD-DUT)	dcd A994_12448	Methanobacterium formicicum (strain DSM 3637 / PP1)		3.5.4.30
K2R0M3	unreviewed	K2R0M3_METFP	Succinate--CoA ligase [ADP-forming] subunit alpha, EC 6.2.1.5 (Succinyl-CoA synthetase subunit alpha, SCS-alpha)	sucD A994_06371	Methanobacterium formicicum (strain DSM 3637 / PP1)		6.2.1.5
K2R0Q0	unreviewed	K2R0Q0_METFP	Glutamyl-tRNA reductase, GluTR, EC 1.2.1.70	hemA A994_04160	Methanobacterium formicicum (strain DSM 3637 / PP1)		1.2.1.70
K2R0R5	unreviewed	K2R0R5_METFP	Putative archaetidylserine decarboxylase proenzyme, EC 4.1.1.- [Cleaved into: Archaetidylserine decarboxylase alpha chain; Archaetidylserine decarboxylase beta chain ]	asd A994_04235	Methanobacterium formicicum (strain DSM 3637 / PP1)		4.1.1.-
K2R0S6	unreviewed	K2R0S6_METFP	Succinate--CoA ligase [ADP-forming] subunit beta, EC 6.2.1.5 (Succinyl-CoA synthetase subunit beta, SCS-beta)	sucC A994_04285	Methanobacterium formicicum (strain DSM 3637 / PP1)		6.2.1.5
K2R0T1	unreviewed	K2R0T1_METFP	Triosephosphate isomerase, TIM, TPI, EC 5.3.1.1 (Triose-phosphate isomerase)	tpiA A994_04310	Methanobacterium formicicum (strain DSM 3637 / PP1)		5.3.1.1
K2R107	unreviewed	K2R107_METFP	Deoxyribose-phosphate aldolase, DERA, EC 4.1.2.4 (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase, Deoxyriboaldolase)	deoC A994_11677	Methanobacterium formicicum (strain DSM 3637 / PP1)		4.1.2.4
K2R112	unreviewed	K2R112_METFP	Anthranilate phosphoribosyltransferase, EC 2.4.2.18	trpD A994_04710	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.4.2.18
K2R122	unreviewed	K2R122_METFP	tRNA pseudouridine synthase A, EC 5.4.99.12 (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I)	truA A994_11802	Methanobacterium formicicum (strain DSM 3637 / PP1)		5.4.99.12
K2R160	unreviewed	K2R160_METFP	2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase, ADH synthase, ADHS, ADTH synthase, EC 2.2.1.10	aroA' A994_11087	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.2.1.10
K2R1B6	unreviewed	K2R1B6_METFP	Glyceraldehyde-3-phosphate dehydrogenase, GAPDH, EC 1.2.1.59 (NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase)	gap A994_05085	Methanobacterium formicicum (strain DSM 3637 / PP1)		1.2.1.59
K2R1E1	unreviewed	K2R1E1_METFP	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT, EC 6.3.5.13	murT A994_10529	Methanobacterium formicicum (strain DSM 3637 / PP1)		6.3.5.13
K2R1G2	unreviewed	K2R1G2_METFP	Probable tRNA sulfurtransferase, EC 2.8.1.4 (Sulfur carrier protein ThiS sulfurtransferase) (Thiamine biosynthesis protein ThiI) (tRNA 4-thiouridine synthase)	thiI A994_10704	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.8.1.4
K2R1L5	unreviewed	K2R1L5_METFP	Valine--tRNA ligase, EC 6.1.1.9 (Valyl-tRNA synthetase, ValRS)	valS A994_02933	Methanobacterium formicicum (strain DSM 3637 / PP1)		6.1.1.9
K2R1Q4	unreviewed	K2R1Q4_METFP	Glycerol-1-phosphate dehydrogenase [NAD(P)+], G1P dehydrogenase, G1PDH, EC 1.1.1.261 (Enantiomeric glycerophosphate synthase) (sn-glycerol-1-phosphate dehydrogenase)	egsA A994_03158	Methanobacterium formicicum (strain DSM 3637 / PP1)		1.1.1.261
K2R1R4	unreviewed	K2R1R4_METFP	Peroxiredoxin, EC 1.11.1.24 (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin)	A994_03208	Methanobacterium formicicum (strain DSM 3637 / PP1)		1.11.1.24
K2R1U0	unreviewed	K2R1U0_METFP	Geranylgeranylglyceryl phosphate synthase, GGGP synthase, GGGPS, EC 2.5.1.41 ((S)-3-O-geranylgeranylglyceryl phosphate synthase) (Phosphoglycerol geranylgeranyltransferase)	A994_09983	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.5.1.41
K2R1V5	unreviewed	K2R1V5_METFP	LL-diaminopimelate aminotransferase, DAP-AT, DAP-aminotransferase, LL-DAP-aminotransferase, EC 2.6.1.83	dapL A994_03433	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.6.1.83
K2R255	unreviewed	K2R255_METFP	Dihydroorotate dehydrogenase, DHOD, DHODase, DHOdehase, EC 1.3.-.-	pyrD A994_09046	Methanobacterium formicicum (strain DSM 3637 / PP1)		1.3.-.-
K2R289	unreviewed	K2R289_METFP	Proteasome subunit beta, EC 3.4.25.1 (20S proteasome beta subunit) (Proteasome core protein PsmB)	psmB A994_09176	Methanobacterium formicicum (strain DSM 3637 / PP1)		3.4.25.1
K2R2H3	unreviewed	K2R2H3_METFP	Tetrahydromethanopterin S-methyltransferase subunit B, EC 2.1.1.86 (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit B)	mtrB A994_09426	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.1.1.86
K2R2J3	unreviewed	K2R2J3_METFP	DNA topoisomerase 1, EC 5.6.2.1 (DNA topoisomerase I)	topA A994_08186	Methanobacterium formicicum (strain DSM 3637 / PP1)		5.6.2.1
K2R2J6	unreviewed	K2R2J6_METFP	Thiamine thiazole synthase, EC 2.4.2.59	thi4 A994_08211	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.4.2.59
K2R2K8	unreviewed	K2R2K8_METFP	6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase, HPPK, EC 2.7.6.3 (2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase) (6-hydroxymethyl-7,8-dihydropterin diphosphokinase, 6-HMPDK) (7,8-dihydro-6-hydroxymethylpterin diphosphokinase) (7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase, PPPK)	mptE A994_08311	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.7.6.3
K2R2L5	unreviewed	K2R2L5_METFP	Chaperone protein DnaJ	dnaJ A994_00765	Methanobacterium formicicum (strain DSM 3637 / PP1)		
K2R2M6	unreviewed	K2R2M6_METFP	Pyridoxal 5'-phosphate synthase subunit PdxT, EC 4.3.3.6 (Pdx2) (Pyridoxal 5'-phosphate synthase glutaminase subunit, EC 3.5.1.2)	pdxT A994_08461	Methanobacterium formicicum (strain DSM 3637 / PP1)		3.5.1.2; 4.3.3.6
K2R2R4	unreviewed	K2R2R4_METFP	Thiamine-monophosphate kinase, TMP kinase, Thiamine-phosphate kinase, EC 2.7.4.16	thiL A994_00990	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.7.4.16
K2R2S3	unreviewed	K2R2S3_METFP	3-isopropylmalate dehydratase large subunit, EC 4.2.1.33 (Alpha-IPM isomerase, IPMI) (Isopropylmalate isomerase)	leuC A994_01040	Methanobacterium formicicum (strain DSM 3637 / PP1)		4.2.1.33
K2R2S4	unreviewed	K2R2S4_METFP	Orotate phosphoribosyltransferase, OPRT, OPRTase, EC 2.4.2.10	pyrE A994_08836	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.4.2.10
K2R2T1	unreviewed	K2R2T1_METFP	Serine hydroxymethyltransferase, SHMT, Serine methylase, EC 2.1.2.-	glyA A994_01065	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.1.2.-
K2R308	unreviewed	K2R308_METFP	Acetylornithine aminotransferase, ACOAT, EC 2.6.1.11	argD A994_01440	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.6.1.11
K2R374	unreviewed	K2R374_METFP	Riboflavin kinase, RFK, EC 2.7.1.161 (CTP-dependent riboflavin kinase) (CTP:riboflavin 5'-phosphotransferase) (Flavokinase)	ribK A994_01915	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.7.1.161
K2R380	unreviewed	K2R380_METFP	Adenosylcobinamide-GDP ribazoletransferase, EC 2.7.8.26 (Cobalamin synthase) (Cobalamin-5'-phosphate synthase)	cobS A994_06445	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.7.8.26
K2R3L3	unreviewed	K2R3L3_METFP	L-aspartate dehydrogenase, EC 1.4.1.21	nadX A994_06920	Methanobacterium formicicum (strain DSM 3637 / PP1)		1.4.1.21
K2R3P6	unreviewed	K2R3P6_METFP	Acetyl-CoA decarbonylase/synthase complex subunit beta, ACDS complex subunit beta, EC 2.3.1.169 (ACDS complex acyltransferase)	cdhC A994_07020	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.3.1.169
K2R450	unreviewed	K2R450_METFP	Inorganic pyrophosphatase, EC 3.6.1.1 (Pyrophosphate phospho-hydrolase, PPase)	ppa A994_05856	Methanobacterium formicicum (strain DSM 3637 / PP1)		3.6.1.1
K2R4A4	unreviewed	K2R4A4_METFP	Probable inosine/xanthosine triphosphatase, ITPase/XTPase, EC 3.6.1.73 (Non-canonical purine NTP phosphatase) (Non-standard purine NTP phosphatase) (Nucleoside-triphosphate phosphatase, NTPase)	A994_06156	Methanobacterium formicicum (strain DSM 3637 / PP1)		3.6.1.73
K2R4F4	unreviewed	K2R4F4_METFP	Glutamyl-tRNA(Gln) amidotransferase subunit D, Glu-ADT subunit D, EC 6.3.5.-	gatD A994_04105	Methanobacterium formicicum (strain DSM 3637 / PP1)		6.3.5.-
K2R4W9	unreviewed	K2R4W9_METFP	Flap endonuclease 1, FEN-1, EC 3.1.-.- (Flap structure-specific endonuclease 1)	fen A994_04830	Methanobacterium formicicum (strain DSM 3637 / PP1)		3.1.-.-
K2R592	unreviewed	K2R592_METFP	NAD kinase, EC 2.7.1.23 (ATP-dependent NAD kinase)	nadK A994_05255	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.7.1.23
K2R5D0	unreviewed	K2R5D0_METFP	3-phosphoshikimate 1-carboxyvinyltransferase, EC 2.5.1.19 (5-enolpyruvylshikimate-3-phosphate synthase, EPSP synthase, EPSPS)	aroA A994_02928	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.5.1.19
K2R5I3	unreviewed	K2R5I3_METFP	Inosine-5'-monophosphate dehydrogenase, IMP dehydrogenase, IMPD, IMPDH, EC 1.1.1.205	guaB A994_03303	Methanobacterium formicicum (strain DSM 3637 / PP1)		1.1.1.205
K2R6C5	unreviewed	K2R6C5_METFP	Methionine aminopeptidase, MAP, MetAP, EC 3.4.11.18 (Peptidase M)	map A994_00810	Methanobacterium formicicum (strain DSM 3637 / PP1)		3.4.11.18
K2R6F1	unreviewed	K2R6F1_METFP	DNA-directed RNA polymerase subunit Rpo11, EC 2.7.7.6 (DNA-directed RNA polymerase subunit L)	rpo11 rpoL A994_00910	Methanobacterium formicicum (strain DSM 3637 / PP1)		2.7.7.6
