Compound	Name
C16243	Cobalt-precorrin 5B
C16244	Cobalt-precorrin 7
C16255	[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine
C16583	(R)-(Homo)2-citrate
C16588	2-Oxopimelate
C16589	2-Oxosuberate
C16597	(-)-threo-Iso(homo)2-citrate
C16598	(R)-(Homo)3-citrate
C16600	(-)-threo-Iso(homo)3-citrate
C17401	Cobalt-factor III
C18237	Molybdoenzyme molybdenum cofactor
C18239	Precursor Z
C19152	Coenzyme F420-1
C19153	Coenzyme F420-0
C19154	7,8-Didemethyl-8-hydroxy-5-deazariboflavin
C19155	(2S)-Lactyl-2-diphospho-5'-guanosine
C19156	(2S)-2-Phospholactate
C19848	Adenylated molybdopterin
C20247	2-(2-Carboxy-4-methylthiazol-5-yl)ethyl phosphate
C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate
C20345	Isopentenyl phosphate
C20581	cis-(Homo)2-aconitate
C20582	cis-(Homo)3-aconitate
C20784	ADP-5-ethyl-4-methylthiazole-2-carboxylate
C20847	(R)-Mevalonate 3-phosphate
C20848	(R)-Mevalonate 3,5-bisphosphate
C21310	(8S)-3',8-Cyclo-7,8-dihydroguanosine 5'-triphosphate
C21971	5-Amino-5-(4-hydroxybenzyl)-6-(D-ribitylimino)-5,6-dihydrouracil
C22453	trans-Anhydromevalonate phosphate
